"Hash","Subject","Date","Parents"
"32abbfadd3a5e30827db0b1a18a11f9fce05ff87","Merge pull request #34 from gamertoky1188gro/ccm/add-company-knowledge-storage-and-faq_2026-03-03_06-04-36","2026-03-03 12:05:07 +0600","b93472398dcd1bda2c939be24922315b758b4d7e 255a25c25d0ea3bbef96c245038ede532953c961"
"c4db736b9c3f2dae16939119b4d85c1255f0e374","Add dedicated verification page with API-driven document status","2026-03-03 12:11:17 +0600","32abbfadd3a5e30827db0b1a18a11f9fce05ff87"
"aca2891e6304a8b057c43618d2672458c7ac7e7a","Merge pull request #35 from gamertoky1188gro/ccm/add-verification-page-component-and-route_2026-03-03_06-11-13","2026-03-03 12:11:40 +0600","32abbfadd3a5e30827db0b1a18a11f9fce05ff87 c4db736b9c3f2dae16939119b4d85c1255f0e374"
"81a9b2303dd4ff327f56869ad2a7ccb4b3fdca15","Add search plan quotas, structured access responses, and premium UI gating","2026-03-03 12:23:48 +0600","aca2891e6304a8b057c43618d2672458c7ac7e7a"
"3976e4f9616f71e04f6c790b24a756210292bbb8","Merge pull request #36 from gamertoky1188gro/ccm/define-free-and-premium-search-capabilities_2026-03-03_06-23-43","2026-03-03 12:24:10 +0600","aca2891e6304a8b057c43618d2672458c7ac7e7a 81a9b2303dd4ff327f56869ad2a7ccb4b3fdca15"
"6c46bec3701ce059eae5c564728b4ed9b87cc434","Implement ratings feedback lifecycle and API-driven profile/search UI","2026-03-03 12:37:43 +0600","3976e4f9616f71e04f6c790b24a756210292bbb8"
"6d007405783de9ffdb6e5796406de2fe21790bc8","Merge pull request #37 from gamertoky1188gro/ccm/add-ratings-storage-and-feedback-events_2026-03-03_06-37-39","2026-03-03 12:38:09 +0600","3976e4f9616f71e04f6c790b24a756210292bbb8 6c46bec3701ce059eae5c564728b4ed9b87cc434"
"c14b9f0c08fe33185c127ebc5e2690e5537f1f53","Enhance feed ranking with age boost guardrails and abuse signals","2026-03-03 12:52:36 +0600","6d007405783de9ffdb6e5796406de2fe21790bc8"
"663d0ad915b8482f8e695e271f5b3bc88f6fae47","Merge pull request #38 from gamertoky1188gro/ccm/extend-feed-ranking-with-account-age-boost_2026-03-03_06-52-34","2026-03-03 12:52:55 +0600","6d007405783de9ffdb6e5796406de2fe21790bc8 c14b9f0c08fe33185c127ebc5e2690e5537f1f53"
"1d9e3998e694636ad8beef237511791d7ef01563","Implement role-based contract workflow controls in Contract Vault","2026-03-03 13:05:06 +0600","663d0ad915b8482f8e695e271f5b3bc88f6fae47"
"44d1e912a178b5e702e97d4e7f577df70c304e5a","Merge pull request #39 from gamertoky1188gro/ccm/add-step-based-contract-workflow_2026-03-03_07-05-04","2026-03-03 13:05:29 +0600","663d0ad915b8482f8e695e271f5b3bc88f6fae47 1d9e3998e694636ad8beef237511791d7ef01563"
"b8715af5ea950d5ae351622087edf2854874a760","Add EU/US buyer country mapping and verification guidance","2026-03-03 14:50:21 +0600","44d1e912a178b5e702e97d4e7f577df70c304e5a"
"24c6ed794ff1638db53d855c65868973b86cfe04","Merge pull request #40 from gamertoky1188gro/ccm/add-eu-country-support-to-buyer-form_2026-03-03_08-50-19","2026-03-03 14:50:54 +0600","44d1e912a178b5e702e97d4e7f577df70c304e5a b8715af5ea950d5ae351622087edf2854874a760"
"94800e43697bc22bc08b6e39b670d5c0bbb51b2e","Enhance buyer request management with authenticated CRUD","2026-03-03 15:53:29 +0600","24c6ed794ff1638db53d855c65868973b86cfe04"
"746106667a8eddf2bb26409ae6594d10902d04af","Merge pull request #41 from gamertoky1188gro/ccm/update-buyerrequestmanagement-for-authenticated-api_2026-03-03_09-53-27","2026-03-03 15:53:50 +0600","24c6ed794ff1638db53d855c65868973b86cfe04 94800e43697bc22bc08b6e39b670d5c0bbb51b2e"
"0885460f521157a6982402fc0ad7082864d72001","Enable factory/buying house member management with org scoping","2026-03-03 16:43:05 +0600","746106667a8eddf2bb26409ae6594d10902d04af"
"85c76b87c8d5fc12a1bda1fa9f7035a32672d308","Merge pull request #42 from gamertoky1188gro/ccm/adjust-role/permission-rules-for-factory-owners_2026-03-03_10-43-00","2026-03-03 16:44:18 +0600","746106667a8eddf2bb26409ae6594d10902d04af 0885460f521157a6982402fc0ad7082864d72001"
"b0bedb7e9c25220b711a306e700ea6e2ccd44d27","Add report action with reason prompt and cooldown in main feed","2026-03-03 16:49:42 +0600","85c76b87c8d5fc12a1bda1fa9f7035a32672d308"
"71c1421b5145bfb6cc72fce7d5403a15511eb789","Merge pull request #43 from gamertoky1188gro/ccm/add-report-button-to-feed-cards_2026-03-03_10-49-40","2026-03-03 16:50:08 +0600","85c76b87c8d5fc12a1bda1fa9f7035a32672d308 b0bedb7e9c25220b711a306e700ea6e2ccd44d27"
"a361a90041468c3696dd6aaa5b7ca047914bbe26","Enforce recording lifecycle before call completion","2026-03-03 17:24:55 +0600","71c1421b5145bfb6cc72fce7d5403a15511eb789"
"f8df2ba8ba8bb09c47d0a59f399f34a69381617e","Merge pull request #44 from gamertoky1188gro/ccm/implement-mandatory-recording-state-management_2026-03-03_11-24-53","2026-03-03 17:34:10 +0600","71c1421b5145bfb6cc72fce7d5403a15511eb789 a361a90041468c3696dd6aaa5b7ca047914bbe26"
"a5e9d09d8cd21be29d0c9c9f00604757ac00a4ae","Auto-generate contract artifacts after signatures","2026-03-03 17:40:27 +0600","f8df2ba8ba8bb09c47d0a59f399f34a69381617e"
"46da3a601f5cd57db62d820928b4687d38ed076f","Merge pull request #45 from gamertoky1188gro/ccm/upgrade-contract-execution-and-artifact-handling_2026-03-03_11-40-25","2026-03-03 17:40:46 +0600","f8df2ba8ba8bb09c47d0a59f399f34a69381617e a5e9d09d8cd21be29d0c9c9f00604757ac00a4ae"
"33e57e07b1fe825864a8b67dc8b6db5e5c8f15e9","Refactor signup verification messaging and link to guidance","2026-03-03 17:45:48 +0600","46da3a601f5cd57db62d820928b4687d38ed076f"
"120b55e60f35ebf905c3cf0804cecda6058cc1e1","Merge pull request #46 from gamertoky1188gro/ccm/refactor-signup-form-and-policies_2026-03-03_11-45-46","2026-03-03 17:46:17 +0600","46da3a601f5cd57db62d820928b4687d38ed076f 33e57e07b1fe825864a8b67dc8b6db5e5c8f15e9"
"53d8a8b86a482570c04eb0afa30eaacd53abbce1","Consolidate FloatingAssistant to app shell","2026-03-03 17:52:44 +0600","120b55e60f35ebf905c3cf0804cecda6058cc1e1"
"7208e182e7d87ef2034ccefe0e9271f853c711c5","Merge pull request #47 from gamertoky1188gro/ccm/consolidate-floating-assistant-rendering_2026-03-03_11-52-42","2026-03-03 17:53:07 +0600","120b55e60f35ebf905c3cf0804cecda6058cc1e1 53d8a8b86a482570c04eb0afa30eaacd53abbce1"
"cf51242cfb90cc1071a4b05bb479195461c3119d","Expose conversation lock workflow in production UI","2026-03-03 18:18:50 +0600","7208e182e7d87ef2034ccefe0e9271f853c711c5"
"6e4cbfb82171135c1d0f26a9ca2ba3eaf1367cd7","Merge pull request #48 from gamertoky1188gro/ccm/expose-lock-workflow-in-production-ui_2026-03-03_12-18-48","2026-03-03 18:19:14 +0600","7208e182e7d87ef2034ccefe0e9271f853c711c5 cf51242cfb90cc1071a4b05bb479195461c3119d"
"4450cde7680b62904c977be19df89d76f26e379d","Update users.json","2026-03-03 18:20:54 +0600","6e4cbfb82171135c1d0f26a9ca2ba3eaf1367cd7"
"3de6f1f6bde6edba8d433b590c42ba27202024c8","Clear all subscriptions from JSON file","2026-03-03 18:21:17 +0600","4450cde7680b62904c977be19df89d76f26e379d"
"e8bfea769f3a64d8bbf88f0bbff27de4703e854b","docs: document frontend routing in README and update build","2026-03-03 23:20:50 +0600","3de6f1f6bde6edba8d433b590c42ba27202024c8"
"dc9a7bb17e8a4a3eb19825de331a7b8d35cfebca","docs: document frontend routing in README and update build","2026-03-04 00:17:20 +0600","e8bfea769f3a64d8bbf88f0bbff27de4703e854b"
"917ac133c72d1b80a02ec5b19fbe29569ad95929","feat: add footer, update privacy/terms, and setup llama script","2026-03-05 12:59:01 +0600","dc9a7bb17e8a4a3eb19825de331a7b8d35cfebca"
"fbb71a1120769b34463e25c4e999829ad8a31cba","Add compact code-context retrieval for assistant queries","2026-03-06 06:37:25 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"10b6340c231d3e946665d4bd8476ea0832291781","Merge pull request #49 from gamertoky1188gro/codex/modify-code-to-search-and-retrieve-data","2026-03-06 06:37:45 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929 fbb71a1120769b34463e25c4e999829ad8a31cba"
"bc4870e183d1c51495f9f636f1e56cb3d6b8edc0","my local changes","2026-03-06 06:41:39 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"0529048a3d8012bf9251817af743e372ad74267a","resolved merge conflict using github version","2026-03-06 06:59:56 +0600","bc4870e183d1c51495f9f636f1e56cb3d6b8edc0 10b6340c231d3e946665d4bd8476ea0832291781"
"16a6c761836baf18939eb861d88f122583aac91e","Default assistant LLM model to Qwen2.5-0.5B gguf","2026-03-06 12:45:13 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"994cce98a92c69993e7d6471323fe325d91e615a","meow","2026-03-06 12:54:38 +0600","0529048a3d8012bf9251817af743e372ad74267a 16a6c761836baf18939eb861d88f122583aac91e"
"84e0fc318b7c90a147c9ba5c02aad0e04f732e5d","Add LLM request logging and endpoint fallback for assistant","2026-03-06 14:13:34 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"8c5e5573418094e7b082fe4fa581bc57762cfb79","meow","2026-03-06 14:20:51 +0600","994cce98a92c69993e7d6471323fe325d91e615a 84e0fc318b7c90a147c9ba5c02aad0e04f732e5d"
"e5bbf65f9601ea31d8dc6819e2de0448d57e8e82","Add public assistant ask endpoint for WS bridge","2026-03-06 14:35:43 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"41eb7cb475c597faf2592c63620664061755338e","meow","2026-03-06 14:40:35 +0600","8c5e5573418094e7b082fe4fa581bc57762cfb79 e5bbf65f9601ea31d8dc6819e2de0448d57e8e82"
"e8b9de7e820c1486734fc2159e4336e5f8ba0a20","Route WebSocket assistant asks through assistantReply","2026-03-06 14:52:00 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"0c2ff081220158590b977fecada5f60fce698e12","meow","2026-03-06 14:57:10 +0600","41eb7cb475c597faf2592c63620664061755338e e8b9de7e820c1486734fc2159e4336e5f8ba0a20"
"21f2ca60c1976c21ff5981c877d3c8412dfa575f","Fix WS duplicate/fallback replies and tighten LLM prompt context","2026-03-06 15:25:15 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"e03936f85d07468a426c53b2f43661037bb8bff4","meow","2026-03-06 15:43:09 +0600","0c2ff081220158590b977fecada5f60fce698e12 21f2ca60c1976c21ff5981c877d3c8412dfa575f"
"953a2d7fb0e81b61687aa3735f17213c7d860164","Add WebSocket-based live messaging to chat interface","2026-03-06 19:13:57 +0600","917ac133c72d1b80a02ec5b19fbe29569ad95929"
"35076144d9497cbd3a992b9a4c9c1b4082b5370b","meow","2026-03-06 19:17:24 +0600","e03936f85d07468a426c53b2f43661037bb8bff4 953a2d7fb0e81b61687aa3735f17213c7d860164"
"368eba42db49385f9da7e1a6eea03bb99a30bd52","Prevent repeated navbar user-search requests on each render","2026-03-07 14:01:35 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"5fa2374578a0f887765eda409e095a0ee9892f24","Decouple friend helpers to prevent startup crash after merges","2026-03-07 22:23:42 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"04923b0657c46497a805aa92de696be0da89ab74","Add visible follow/friend action feedback and refresh results","2026-03-08 00:29:23 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"5dd9c4b38d87ed1094d9a13516b66df65374fb0b","meow","2026-03-08 00:53:53 +0600","5fa2374578a0f887765eda409e095a0ee9892f24 368eba42db49385f9da7e1a6eea03bb99a30bd52"
"637fe9021c471454ebcc7fe667d9341bd5e666b0","meow","2026-03-08 00:58:23 +0600","5dd9c4b38d87ed1094d9a13516b66df65374fb0b 04923b0657c46497a805aa92de696be0da89ab74"
"80dc4fe59b1f6bdd1bbe50676049dc4c590fa944","Show friend request threads in chat inbox before first message","2026-03-08 01:13:15 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"d1e4f89eaf93be278519cd004544dbea1fa777a6","meow","2026-03-08 13:10:03 +0600","637fe9021c471454ebcc7fe667d9341bd5e666b0 80dc4fe59b1f6bdd1bbe50676049dc4c590fa944"
"7d6acd32b634cc9c556d8b2a05c881e753903484","Refine chat UI identity, spacing, and metadata presentation","2026-03-08 13:56:29 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"c5b1316aaa511e6a30ccc6f47c5ae53560e47dfb","meow","2026-03-08 14:01:50 +0600","d1e4f89eaf93be278519cd004544dbea1fa777a6 7d6acd32b634cc9c556d8b2a05c881e753903484"
"ab93fbc1307da46bf29fee9fea562a84fb070fce","Redesign chat dark layout with integrated sidebar navigation","2026-03-08 16:57:14 +0600","35076144d9497cbd3a992b9a4c9c1b4082b5370b"
"68b397b3de639f59d9bba3243aec80c8e8f9abef","Resolved merge conflict using incoming branch version","2026-03-08 17:05:32 +0600","c5b1316aaa511e6a30ccc6f47c5ae53560e47dfb ab93fbc1307da46bf29fee9fea562a84fb070fce"
